disorder,symptoms
Autism Spectrum Disorder (ASD),Difficulty with social-emotional reciprocity; Impaired nonverbal communication; Challenges in developing maintaining or understanding relationships; Stereotyped or repetitive movements speech or object use; Insistence on sameness or inflexible adherence to routines; Highly restricted fixated interests that are intense or abnormal; Hyper or hypo-reactivity to sensory input; Poor eye contact; Atypical gestures; Trouble with back-and-forth conversation; Sensitivity to sounds or textures
Attention-Deficit/Hyperactivity Disorder (ADHD),Difficulty sustaining attention in tasks or play; Often does not follow through on instructions or fails to finish tasks; Frequently loses things necessary for tasks; Easily distracted by extraneous stimuli; Forgetfulness in daily activities; Fidgeting tapping or squirming; Difficulty remaining seated when expected; Running or climbing in inappropriate situations; Talking excessively or interrupting others; Difficulty waiting for their turn; Feeling restless in adults
Anxiety,Excessive anxiety and worry about various events or activities occurring more days than not for at least 6 months; Difficulty controlling the worry; Restlessness or feeling keyed up or on edge; Being easily fatigued;Marked fear or anxiety about social situations where exposed to possible scrutiny by others; Fear of acting in a way that will be humiliating or embarrassing; Social situations almost always provoke fear or anxiety; Avoidance of social situations or enduring them with intense fear; Fear or anxiety is out of proportion to the actual threat; Symptoms persist for 6+ months; Causes significant distress or impairment; Blushing sweating trembling or nausea in social situations; Fear of public speaking; Fear of eating or drinking in public; Difficulty making eye contact; Fear of being judged negatively Difficulty concentrating or mind going blank; Irritability; Muscle tension; Sleep disturbance including difficulty falling asleep staying asleep or restless sleep; Physical symptoms like headaches; Gastrointestinal problems; Sweating; Trembling; Anticipatory anxiety about future events;Recurrent unexpected panic attacks; Sudden surge of intense fear or discomfort peaking within minutes; Palpitations or racing heart; Sweating trembling or shaking; Shortness of breath or feeling smothered; Feelings of choking; Chest pain or discomfort; Nausea dizziness or faintness; Chills or heat sensations; Numbness tingling or derealization; Fear of losing control or going crazy; Fear of dying; Persistent worry about additional panic attacks for at least 1 month; Significant behavioral changes to prevent attacks
Depression,Depressed mood most of the day nearly every day; Markedly diminished interest or pleasure in almost all activities; Significant weight loss or gain; Appetite change; Insomnia or hypersomnia nearly every day; Psychomotor agitation or retardation; Fatigue or loss of energy; Feelings of worthlessness or excessive guilt; Diminished ability to think concentrate or make decisions; Recurrent thoughts of death or suicide;Depressed mood for most of the day for more days than not for at least 2 years; Poor appetite or overeating; Insomnia or hypersomnia; Low energy or fatigue; Low self-esteem; Poor concentration or difficulty making decisions; Feelings of hopelessness; Symptoms do not remit for more than 2 months at a time; Causes significant distress or impairment in functioning
Obsessive-Compulsive Disorder (OCD),Recurrent intrusive thoughts urges or images causing anxiety or distress; Repetitive behaviors or mental acts performed to reduce distress; Attempts to suppress or neutralize obsessions with compulsions; Obsessions or compulsions are time-consuming; Takes more than 1 hour per day; Causes significant distress or impairment; Fear of contamination; Excessive cleaning or washing; Checking behaviors; Counting or arranging compulsions
Post-Traumatic Stress Disorder (PTSD),Exposure to actual or threatened death serious injury or sexual violence; Recurrent involuntary distressing memories of the event; Distressing dreams of the trauma; Flashbacks or dissociative reactions; Intense distress or physiological reactions to trauma cues; Avoiding trauma-related thoughts feelings or external reminders; Inability to recall key aspects of the trauma; Persistent negative beliefs or emotional state; Feelings of detachment or estrangement; Irritability reckless behavior or hypervigilance; Exaggerated startle response; Sleep disturbance; Symptoms persist for more than 1 month
Borderline Personality Disorder (BPD),Frantic efforts to avoid real or imagined abandonment; Unstable intense interpersonal relationships alternating idealization and devaluation; Unstable self-image or sense of self; Impulsivity in at least 2 potentially self-damaging areas; Recurrent suicidal behavior gestures or threats; Self-mutilation; Affective instability with intense episodic dysphoria; Chronic feelings of emptiness; Inappropriate intense anger or difficulty controlling anger; Transient stress-related paranoid ideation or dissociative symptoms
Eating Disorders,Restriction of energy intake leading to significantly low body weight; Intense fear of gaining weight or becoming fat; Disturbance in the way body weight or shape is experienced; Denial of the seriousness of current low body weight; Preoccupation with food calories and weight; Rigid eating patterns and food rituals; Excessive exercise; Social withdrawal especially around meals; Amenorrhea in females; Cold intolerance; Dry skin and brittle nails; Fine hair growth on body; Perfectionist tendencies; Need for control;Recurrent episodes of binge eating characterized by eating large amounts in short periods; Sense of lack of control during binge episodes; Recurrent inappropriate compensatory behaviors to prevent weight gain; Self-induced vomiting; Misuse of laxatives diuretics or other medications; Fasting; Excessive exercise; Self-evaluation unduly influenced by body shape and weight; Binges and compensatory behaviors occur at least once weekly for 3 months; Eating in secret due to embarrassment; Dental problems from vomiting; Swollen salivary glands; Electrolyte imbalances;Recurrent episodes of binge eating; Eating much more rapidly than normal; Eating until feeling uncomfortably full; Eating large amounts when not physically hungry; Eating alone because of embarrassment; Feeling disgusted depressed or very guilty after overeating; Marked distress regarding binge eating; Binge eating occurs at least once weekly for 3 months; No regular use of compensatory behaviors; Episodes associated with significant distress; Loss of control during eating episodes
Bipolar Disorder,Distinct period of abnormally and persistently elevated expansive or irritable mood lasting at least 1 week; Inflated self-esteem or grandiosity; Decreased need for sleep feeling rested after only 3 hours; More talkative than usual or pressure to keep talking; Flight of ideas or subjective experience of racing thoughts; Distractibility; Increase in goal-directed activity or psychomotor agitation; Excessive involvement in activities with high potential for painful consequences; Manic episode causes marked impairment or requires hospitalization; May include psychotic features during severe episodes;One or more major depressive episodes; At least one hypomanic episode lasting at least 4 consecutive days; Elevated expansive or irritable mood during hypomania; Increased self-esteem or grandiosity; Decreased need for sleep; More talkative or pressured speech; Flight of ideas or racing thoughts; Distractibility; Increased activity or psychomotor agitation; Poor judgment in hypomanic episodes; Clear change in functioning during hypomania; No full manic episodes; No psychotic features during hypomania; Significant distress or impairment
Alcohol Use Disorder,Drinking in larger amounts or over longer periods than intended; Persistent desire or unsuccessful efforts to cut down or control drinking; Great deal of time spent obtaining using or recovering from alcohol; Craving or strong desire to use alcohol; Failure to fulfill major role obligations due to drinking; Continued use despite persistent social or interpersonal problems; Giving up or reducing important activities because of drinking; Recurrent use in physically hazardous situations; Continued use despite knowledge of physical or psychological problems; Tolerance needing increased amounts for desired effect; Withdrawal symptoms when stopping; Drinking to relieve withdrawal symptoms; Blackouts from drinking; Morning drinking to avoid withdrawal
Drug Use Disorder,Using substances in larger amounts or longer periods than intended; Persistent desire or unsuccessful efforts to reduce substance use; Considerable time spent obtaining using or recovering from substances; Craving or strong urge to use substances; Failure to fulfill major obligations due to substance use; Continued use despite persistent social or interpersonal problems caused by substance; Important activities given up or reduced because of substance use; Recurrent use in physically hazardous situations; Continued use despite knowledge of physical or psychological problems; Tolerance requiring markedly increased amounts; Withdrawal symptoms when stopping; Using substances to avoid withdrawal symptoms; Preoccupation with obtaining and using substances; Loss of control over substance use; Denial of severity of substance use problem
