Doctor ID,Doctor Name,Specialization,Disorder,Available Days,Available Slots
D001,Dr. Anita Sharma,Psychology,Autism Spectrum Disorder,"Thu,Mon,Sat","13:00-14:00,15:00-16:00,12:00-13:00"
D002,Dr. Arjun Singh,Psychiatry,Autism Spectrum Disorder,"Wed,Sat,Thu","16:00-17:00,14:00-15:00,12:00-13:00"
D003,Dr. Rohan Mehta,Psychology,ADHD,"Wed,Tue,Mon","14:00-15:00,14:00-15:00,12:00-13:00"
D004,Dr. Meera Nair,Psychiatry,ADHD,"Sat,Mon,Wed","13:00-14:00,14:00-15:00,15:00-16:00"
D005,Dr. Kavita Rao,Psychology,Anxiety,"Wed,Sat,Thu","11:00-12:00,14:00-15:00,11:00-12:00"
D006,Dr. Sandeep Gupta,Psychiatry,Anxiety,"Wed,Tue,Thu","13:00-14:00,15:00-16:00,14:00-15:00"
D007,Dr. Neha Kapoor,Psychology,Depression,"Thu,Sat,Tue","13:00-14:00,11:00-12:00,12:00-13:00"
D008,Dr. Priya Verma,Psychiatry,Depression,"Mon,Thu,Wed","12:00-13:00,14:00-15:00,16:00-17:00"
D001,Dr. Anita Sharma,Psychology,OCD,"Fri,Thu,Wed","15:00-16:00,14:00-15:00,11:00-12:00"
D002,Dr. Arjun Singh,Psychiatry,OCD,"Tue,Sat,Fri","10:00-11:00,14:00-15:00,13:00-14:00"
D003,Dr. Rohan Mehta,Psychology,PTSD,"Fri,Sat,Thu","15:00-16:00,12:00-13:00,14:00-15:00"
D004,Dr. Meera Nair,Psychiatry,PTSD,"Tue,Wed,Mon","11:00-12:00,12:00-13:00,14:00-15:00"
D005,Dr. Kavita Rao,Psychology,Eating Disorders,"Fri,Sat,Tue","11:00-12:00,14:00-15:00,13:00-14:00"
D006,Dr. Sandeep Gupta,Psychiatry,Eating Disorders,"Tue,Fri,Wed","12:00-13:00,16:00-17:00,13:00-14:00"
D008,Dr. Priya Verma,Psychiatry,Bipolar Disorder,"Sat,Thu,Mon","12:00-13:00,12:00-13:00,13:00-14:00"
D008,Dr. Priya Verma,Psychiatry,Bipolar Disorder,"Mon,Thu,Fri","16:00-17:00,14:00-15:00,14:00-15:00"
D001,Dr. Anita Sharma,Psychology,BPD,"Mon,Fri,Thu","14:00-15:00,15:00-16:00,12:00-13:00"
D002,Dr. Arjun Singh,Psychiatry,BPD,"Thu,Sat,Wed","10:00-11:00,13:00-14:00,12:00-13:00"
D004,Dr. Meera Nair,Psychiatry,Alcohol Use Disorder,"Thu,Mon,Fri","10:00-11:00,12:00-13:00,13:00-14:00"
D004,Dr. Meera Nair,Psychiatry,Alcohol Use Disorder,"Fri,Mon,Wed","14:00-15:00,13:00-14:00,16:00-17:00"
D006,Dr. Sandeep Gupta,Psychiatry,Drug Use Disorder,"Thu,Wed,Tue","11:00-12:00,14:00-15:00,14:00-15:00"
D006,Dr. Sandeep Gupta,Psychiatry,Drug Use Disorder,"Sat,Thu,Mon","11:00-12:00,14:00-15:00,13:00-14:00"
